"Sektor","Barkod","Urun Adi","Marka","Kategori","Fiyat (TL)","KDV","Urun Gorseli"
"Atıştırmalık ve Şekerleme","8690504078340","Ulker Dankek 8 Kek 45 Gr Muz Cikolata (781-04)","Ülker","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504078968","Ulker Dankek 8 Kek 45 Gr Muz Cikolata (781-04)","Ülker","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690504063346","Ulker Dankek Cay Saati 220 Gr Kakaolu (641-08)","Ülker","Çay","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690504064183","Ulker Dankek Cay Saati 220 Gr Kakaolu (641-08)","Ülker","Çay","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690504064190","Ulker Dankek Cay Saati 220 Gr Meyveli (641-09)","Ülker","Çay","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690504063209","Ulker Dankek Cay Saati 220 Gr Mozaik (641-07)","Ülker","Çay","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690504064176","Ulker Dankek Cay Saati 220 Gr Mozaik (641-07)","Ülker","Çay","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690504064107","Ulker Dankek Cay Saati 220 Gr Vanilya Cik.(641-00)","Ülker","Çay","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8690504064251","Ulker Dankek Cay Saati 240 Gr Islak Kek (642-05)","Ülker","Kek","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690504063407","Ulker Dankek Cay Saati 240 Gr Meyveli (634-4)","Ülker","Çay","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690504061632","Ulker Dankek Cay Saati 280 Gr Kakao Cilek (616-3)","Ülker","Çay","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690504061649","Ulker Dankek Cay Saati 280 Gr Kakao Cilek (616-3)","Ülker","Çay","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690504061700","Ulker Dankek Cay Saati 280 Gr Kakaolu (617-3)","Ülker","Çay","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690504061830","Ulker Dankek Cay Saati 280gr Mozaik (618-3)","Ülker","Çay","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690504064053","Ulker Dankek Cay Saati Kakaolu 240gr64005","Ülker","Çay","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504063049","Ulker Dankek Choco Cikolatali Kek 25 Gr(630-04)","Ülker","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8690504080077","Ulker Dankek Choco Kek 50gr Muzlu(800-07)","Ülker","Kek","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8690504079880","Ulker Dankek Choco Kek 55 Gr(798-08)","Ülker","Kek","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504078272","Ulker Dankek Cikolatalim 114 Gr Kar. 3 Lu (782-6)","Ülker","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504078296","Ulker Dankek Cikolatalim 35 Gr Cikolatali (795-02)","Ülker","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504079521","Ulker Dankek Cikolatalim 795-02 35 Gr","Ülker","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8690504061052","Ulker Dankek Dilimli 30 Gr Kakaolu (610-05)","Ülker","Kek","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8690504061151","Ulker Dankek Dilimli 30 Gr Kakaolu (610-05)","Ülker","Kek","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8690504061069","Ulker Dankek Dilimli 30 Gr Meyveli (610-06)","Ülker","Kek","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8690504061250","Ulker Dankek Dilimli 30 Gr Meyveli (610-06)","Ülker","Kek","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8690504061045","Ulker Dankek Dilimli 30 Gr Mozaik (610-04)","Ülker","Kek","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8690504061359","Ulker Dankek Dilimli 30 Gr Mozaik (610-04)","Ülker","Kek","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8690504064329","Ulker Dankek Ev Kek 170 Gr Mozaik (643-02)","Ülker","Kek","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8690504064336","Ulker Dankek Ev Kek 170 Gr Uzumlu (643-03)","Ülker","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8690504063810","Ulker Dankek Ev Kek 40 Gr Havuclu Tarcinli (638-1)","Ülker","Kek","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8690504063827","Ulker Dankek Ev Kek 40 Gr Kakao Portakal (638-2)","Ülker","Kek","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8690504064374","Ulker Dankek Lokmalik Kakao Kek 180gr","Ülker","Kek","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8690504064367","Ulker Dankek Lokmalik Uzumlu Kek 180gr","Ülker","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8690504080541","Ulker Dankek Magma 45 Gr Karamelli","Ülker","Kek","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8690504077725","Ulker Dankek Mini 8 Kek 80 Gr Cilek (777-02)","Ülker","Kek","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8690504077718","Ulker Dankek Mini 8 Kek Muzlu 80gr (777-01)","Ülker","Kek","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8690504079477","Ulker Dankek Muffin 35 Gr","Ülker","Kek","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504062462","Ulker Dankek Muffin 40 Gr Cikolatali (630-4)","Ülker","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504062905","Ulker Dankek Muffin 40 Gr Cikolatali (630-4)","Ülker","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8690504063070","Ulker Dankek Muffin Meyveli Kek 25 Gr 630/07","Ülker","Kek","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8690504079866","Ulker Dankek Poti 5*48gr 5li Pk79806","Ülker","Kek","bilinmiyor","bilinmiyor","bilinmiyor"
"Sos, Baharat ve Çeşni","8690504079798","Ulker Dankek Poti Huvuclu Tarcinli","Ülker","Baharat","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8690504079705","Ulker Dankek Poti Kek 48 Gr Hin.cevizli (797-2)","Ülker","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8690504079721","Ulker Dankek Poti Kek 48 Gr Hin.cevizli (797-2)","Ülker","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8690504079729","Ulker Dankek Poti Kek 48 Gr Hin.cevizli (797-2)","Ülker","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8690504079316","Ulker Dankek Poti Kek 48 Gr Meyveli (793-2)","Ülker","Kek","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8690504079217","Ulker Dankek Poti Kek 52 Gr Kakaolu (809-7)","Ülker","Kek","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8690504079279","Ulker Dankek Poti Kek 52 Gr Kakaolu (809-7)","Ülker","Kek","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504077732","Ulker Dankek Poti Kek Cikolata Soslu Mini 5x15 Gr","Ülker","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504066910","Ulker Dankek Rulo 255gr Cikolatali","Ülker","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8690504066927","Ulker Dankek Rulo Pasta Cikolatali 255 Gr 669-2","Ülker","Kek","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8690504066828","Ulker Dankek Rulo Pasta Cilekli 245gr 668-02","Ülker","Kek","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8690504103172","Ulker Dankek Rulo Pasta Sutlu 32","Ülker","Kek","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504015901","Ulker Deluxe Gofret Kakaolu 225 Gr. 40402","Ülker","Gofret","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504029175","Ulker Dido 25 Gr (294-05)","Ülker","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504940319","Ulker Dido 38gr Gofret","Ülker","Gofret","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504130529","Ulker Dido 40 Gr Black (130502)","Ülker","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504028970","Ulker Dido 45gr Tane Tane Gofret 29507","Ülker","Gofret","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504029557","Ulker Dido 96 Gr Tane Tane 295-05","Ülker","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504028901","Ulker Dido Cikolatali Gofret 31gr (289-00 )","Ülker","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504028918","Ulker Dido Kare Cikolata 50 Gr (289-1)","Ülker","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8692971473369","Ulker Dolca Cikolatali Puding 4lu","Ülker","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8692971473796","Ulker Dolcia 4x70 Gr Cik","Ülker","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8692971473826","Ulker Dolcia Cilek 4*70 Gr","Ülker","Meyve","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8692971473819","Ulker Dolcia Muz 4*70 Gr","Ülker","Meyve","bilinmiyor","bilinmiyor","bilinmiyor"
"Tatlı ve Dondurma","8690504473138","Ulker Dolcia Muzlu Puding 4lu","Ülker","Tatlı","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690504008781","Ulker Dore 80g Kakaolu","Ülker","Diğer İçecek","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504008699","Ulker Dore Biskuvi 86gr","Ülker","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504008729","Ulker Dore Sade Kremali Dolgulu Cikolata 93 Gr","Ülker","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504218166","Ulker Dubix","Ülker","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"Sos, Baharat ve Çeşni","8690504633846","Ulker Ducros Aci Pul Biber Buyuk 200 Gr","Ülker","Baharat","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690504633662","Ulker Ducros Bicirpida Kahvaltilik","Ülker","Kahve","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8690504633655","Ulker Ducros Bicirpida Yogurt Cesnisi","Ülker","Yoğurt","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8690504633679","Ulker Ducros Bicirpida Zahter","Ülker","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8690504633624","Ulker Ducros Corekotu 75gr","Ülker","Kek","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8690504633969","Ulker Ducros Dolmalik Fistik 23gr","Ülker","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8690504633853","Ulker Ducros K.biber Buyuk 200gr","Ülker","Sebze","bilinmiyor","bilinmiyor","bilinmiyor"
"Sos, Baharat ve Çeşni","8690504633419","Ulker Ducros Karabiber","Ülker","Baharat","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8690504633464","Ulker Ducros Kekik","Ülker","Kek","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8690504633877","Ulker Ducros Kekik Buyuk 60gr","Ülker","Kek","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8690504633860","Ulker Ducros Nane 70gr","Ülker","Sebze","bilinmiyor","bilinmiyor","bilinmiyor"
"Sos, Baharat ve Çeşni","8690504633983","Ulker Ducros Yeni Bahar Kucuk 40gr","Ülker","Baharat","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504145332","Ulker Ece","Ülker","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8690504146209","Ulker Ece 530 Gr Antep Fistikli (1462)","Ülker","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8690504022404","Ulker Ece 530 Gr Findikli Sutlu (224)","Ülker","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8690504032205","Ulker Ece Cinili 340 Gr Findikli (322)","Ülker","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504022800","Ulker Ece Çikolata 1 Kg","Ülker","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504146124","Ulker Ece Çikolata 1 Kg Fistikli","Ülker","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8690840216178","Ulker Ferahligi Oneo Nane","Ülker","Sebze","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504014713","Ulker Finger","Ülker","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504014720","Ulker Finger Biskuvi 900 Gr Sutlu (147-2)","Ülker","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504081432","Ulker Finger Cik Bitter 10gr","Ülker","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8690504081449","Ulker Finger Cik.sut. 10gr","Ülker","Süt","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690504537434","Ulker Flores Soda 200ml Limon","Ülker","Gazlı İçecek","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690504925651","Ulker Flores Soda 200ml Limon 6li","Ülker","Gazlı İçecek","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690504536154","Ulker Flores Soda 200ml Sade","Ülker","Gazlı İçecek","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690504536161","Ulker Flores Soda 200ml Sade 6li","Ülker","Gazlı İçecek","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8690504171997","Ulker Galery Şeker","Ülker","Şeker","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504170136","Ulker Gallery Bonbon","Ülker","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8690504178514","Ulker Gallery Mini B","Ülker","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504176862","Ulker Gallery Toffe","Ülker","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504176985","Ulker Gallery Toffe","Ülker","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504177050","Ulker Gallery Toffe","Ülker","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504040248","Ulker Gofret 220 Gr Findikli (404-5)","Ülker","Gofret","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690766040451","Ulker Gofret 220 Gr Findikli (404-5)","Ülker","Gofret","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504015925","Ulker Gofret 220 Gr Kakaolu (404-2)","Ülker","Gofret","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690766040420","Ulker Gofret 220 Gr Kakaolu (404-2)","Ülker","Gofret","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504015413","Ulker Gofret 220 Gr Muzlu (404-1)","Ülker","Gofret","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690766040413","Ulker Gofret 220 Gr Muzlu (404-1)","Ülker","Gofret","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690766040437","Ulker Gofret 220 Gr Vanilyali (404-3)","Ülker","Gofret","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504015932","Ulker Gofret K","Ülker","Gofret","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8690504555827","Ulker Gogly 250gr Sutlu Pirinc Unu Elmali 55802","Ülker","Süt","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8690504023401","Ulker Gokkusagi 210 Gr (234-06)","Ülker","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8690504025375","Ulker Golden 80 Gr Bol Findikli (253-07)","Ülker","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8690504025511","Ulker Golden Balli","Ülker","Kek","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504149453","Ulker Golden Baton Cikolata A.fistikli 38 Gr(1494","Ülker","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504025566","Ulker Golden Cikolata 80 Gr Bitter Findik Kare","Ülker","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504025474","Ulker Golden Cikolata 80 Gr Kare Bol Fistik 254-07","Ülker","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8690504120513","Ulker Golden Cikolatali Findik Kremasi 400gr1205-3","Ülker","Fındık/Kakao Kreması","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8690504120605","Ulker Golden Cikolatali Findik Kremasi 400gr1205-3","Ülker","Fındık/Kakao Kreması","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8690504032502","Ulker Golden Dolmabahce 420 Gr Madlen (325-0)","Ülker","Kek","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504028161","Ulker Golden Draje 42 Gr Antep Fistikli 281-06","Ülker","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8690504120643","Ulker Golden Findik Ezmesi 350 Gr (1206-4)","Ülker","Fındık/Kakao Kreması","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8690504026167","Ulker Golden Findikli Kare Dolg.100 Gr","Ülker","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Kişisel Bakım ve Kozmetik","8690504120551","Ulker Golden Krem 700 Gr(1205-05)","Ülker","Sabun ve Kozmetik","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8698313593337","Ulker Golf Royal Special Karaorman 900ml","Ülker","Kahvaltılık Gevrek","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8680205500646","Ulker Granini 1 Lt Karisik Nektar","Ülker","Meyve Suyu","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8680205500240","Ulker Granini 1 Lt Kayisi Nektar","Ülker","Meyve Suyu","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8680205500349","Ulker Granini 1 Lt Portakal","Ülker","Meyve Suyu","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8680205500448","Ulker Granini 1 Lt Portakal Ananas","Ülker","Meyve Suyu","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8680205500547","Ulker Granini 1 Lt Seftali Nektar","Ülker","Meyve Suyu","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8680205500745","Ulker Granini 1 Lt Visne Nektar","Ülker","Meyve Suyu","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8680205500721","Ulker Granini 330 Gr Visne","Ülker","Kahvaltılık Gevrek","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8680205500622","Ulker Granini 330 Ml Karisik500602","Ülker","Meyve Suyu","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8680205500226","Ulker Granini 330ml Kayisi Nektar 500202","Ülker","Meyve Suyu","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8680205500523","Ulker Granini 330ml Seftali Nektari500502","Ülker","Meyve Suyu","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8680205501445","Ulker Granini Kir.mey.1000ml","Ülker","Kahvaltılık Gevrek","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8680205501025","Ulker Granini Mey.ice.1500ml Por","Ülker","Kahvaltılık Gevrek","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8680205500929","Ulker Granini Mey.ice.1500ml Sef","Ülker","Kahvaltılık Gevrek","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8680205500905","Ulker Granini Mey.ice.330ml Sef","Ülker","Meyve Suyu","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8680205500219","Ulker Granini Mey.nek.200ml Kay","Ülker","Meyve Suyu","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8680205500417","Ulker Granini Mey.nek.200ml P.a","Ülker","Meyve Suyu","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8680205500318","Ulker Granini Mey.nek.200ml Por","Ülker","Meyve Suyu","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8680205500516","Ulker Granini Mey.nek.200ml Seftali","Ülker","Meyve Suyu","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8680205500714","Ulker Granini Mey.nek.200ml Visne","Ülker","Meyve Suyu","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8680205501476","Ulker Granini Mey.nektar 1/1 Cilek","Ülker","Meyve Suyu","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504058106","Ulker Grissini 125 Gr Kepekli (581)","Ülker","Kraker","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504058007","Ulker Grissini 125 Gr Sade (580-1)","Ülker","Kraker","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504039518","Ulker Halley 10 Lu 300 Gr (395-1)","Ülker","Gofret","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504036265","Ulker Halley 231 Gr Mini 3 Lu Eko Paket 342-4","Ülker","Gofret","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504036258","Ulker Halley Cikolatali 77 Gr (362-05)","Ülker","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504013617","Ulker Hanim Eller Coko Damla 4lu Pak","Ülker","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504012108","Ulker Hanimeller 110 Gr Cokodamla (136-3)","Ülker","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504020158","Ulker Hanimeller 150gr Tuzlu Kurabiye","Ülker","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504012283","Ulker Hanimeller 160 Cokodamla (123-09)","Ülker","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504012399","Ulker Hanimeller 160 Cokodamla (123-09)","Ülker","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8690504013174","Ulker Hanimeller 160 Gr Findikli (730-05)","Ülker","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504013020","Ulker Hanimeller 160 Gr Tuz.kurabiye Karma 201-06","Ülker","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504013556","Ulker Hanimeller 160 Gr Tuz.kurabiye Karma 201-06","Ülker","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504020165","Ulker Hanimeller 160 Gr Tuz.kurabiye Karma 201-06","Ülker","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504013549","Ulker Hanimeller 160 Gr Tuz.kurabiye Susamli 135-4","Ülker","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504013006","Ulker Hanimeller 180 Gr Asorti Poset (131-5)","Ülker","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504013150","Ulker Hanimeller 180 Gr Asorti Poset (131-5)","Ülker","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504012115","Ulker Hanimeller 185 Gr Cokodamla ( 121-1)","Ülker","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8690504013105","Ulker Hanimeller 185 Gr Findikli (131)","Ülker","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8690504013570","Ulker Hanimeller 3 Lu Mp 330 Gr Findikli (135-7)","Ülker","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504013600","Ulker Hanimeller 330gr Cokod","Ülker","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504013679","Ulker Hanimeller 3lu Mp 330 Gr Cokodamla (136-7)","Ülker","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504011804","Ulker Hanimeller Biskuvi 110 Gr Findikli (136-4)","Ülker","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504013501","Ulker Hanimeller Biskuvi 4*110 Gr Findikli (135)","Ülker","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
